,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive_shots,PassDead,Drib_shots,shots_lead_shots,Def_shots,GCA,GCA90,PassLive_goals,Drib_goals,shots_lead_goals,Def_goals,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Top_Team,Strikers
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1.7,3.0,1.78,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,151,1,0,1,0,0,0,0,1,1
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,23.8,32.0,1.35,25.0,3.0,1.0,1.0,0.0,4.0,0.17,3.0,0.0,0.0,0.0,28,22,2140,0,2,0,0,0,4,0,0,0
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,9,0,0,0,0,0,0,0,0,1
30,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,de Bundesliga,19,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,61,0,0,0,0,0,0,0,0,0
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,15.0,20.0,1.33,16.0,1.0,0.0,2.0,1.0,2.0,0.13,2.0,0.0,0.0,0.0,15,15,1350,0,1,0,0,0,6,0,0,0
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,11.2,23.0,2.06,19.0,0.0,1.0,1.0,1.0,3.0,0.27,3.0,0.0,0.0,0.0,25,11,1004,1,1,1,0,0,2,0,0,0
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,29.3,16.0,0.55,15.0,0.0,0.0,1.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,32,30,2637,0,0,0,0,0,1,0,0,0
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,16.0,37.0,2.32,29.0,2.0,3.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,21,17,1437,0,0,0,0,0,4,0,0,0
35,Rayan Aït Nouri,fr FRA,"DF,MF",Wolves,eng Premier League,20,20.3,45.0,2.22,30.0,8.0,4.0,0.0,1.0,6.0,0.3,4.0,0.0,0.0,0.0,23,20,1828,1,2,1,0,0,4,0,0,0
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,22.2,33.0,1.5,22.0,6.0,2.0,1.0,1.0,7.0,0.32,3.0,2.0,0.0,0.0,24,23,1995,1,3,1,0,0,5,0,0,0
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,30.4,83.0,2.73,62.0,0.0,2.0,9.0,1.0,10.0,0.33,6.0,0.0,2.0,0.0,36,31,2738,12,8,9,3,3,5,1,0,1
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,25.1,16.0,0.64,12.0,2.0,1.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,26,25,2261,1,0,1,0,0,3,0,1,0
